NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
KAREN CACILDA WEBER	Ciências Exatas e da Terra	Química	Físico-Química	Química Teórica
OTAVIO LUIS DE SANTANA	Ciências Exatas e da Terra	Química	Físico-Química	Química Teórica
CLAUDIA MENEGAZ ZACCARON CRISTIANO	Ciências Exatas e da Terra	Química	Físico-Química	nan
AMALIA GEIZA GAMA PESSOA	Ciências Exatas e da Terra	Química	Química Analítica	Análise de Traços e Química Ambiental
CLAUDIA DE OLIVEIRA CUNHA	Ciências Exatas e da Terra	Química	Química Analítica	Análise de Traços e Química Ambiental
WALLACE DUARTE FRAGOSO	Ciências Exatas e da Terra	Química	Química Analítica	Análise de Traços e Química Ambiental
SHERLAN GUIMARAES LEMOS	Ciências Exatas e da Terra	Química	Química Analítica	Eletroanalítica
LILIANA DE FATIMA BEZERRA LIRA DE PONTES	Ciências Exatas e da Terra	Química	Química Analítica	Métodos Óticos de Análise
LUCIANO FARIAS DE ALMEIDA	Ciências Exatas e da Terra	Química	Química Analítica	Métodos Óticos de Análise
MARCIO JOSE COELHO DE PONTES	Ciências Exatas e da Terra	Química	Química Analítica	Métodos Óticos de Análise
RICARDO ALEXANDRE CAVALCANTI DE LIMA	Ciências Exatas e da Terra	Química	Química Analítica	Métodos Óticos de Análise
ANA PAULA DE MELO ALVES GUEDES	Ciências Exatas e da Terra	Química	Química Inorgânica	Físico Química Inorgânica
MARIA GARDENNIA DA FONSECA	Ciências Exatas e da Terra	Química	Química Inorgânica	Físico Química Inorgânica
WAGNER DE MENDONCA FAUSTINO	Ciências Exatas e da Terra	Química	Química Inorgânica	Físico Química Inorgânica
JULIO SANTOS REBOUCAS	Ciências Exatas e da Terra	Química	Química Inorgânica	Química Bio-Inorgânica
RODRIGO CRISTIANO	Ciências Exatas e da Terra	Química	Química Orgânica	Físico-Química Orgânica
ANTONIA LUCIA DE SOUZA	Ciências Exatas e da Terra	Química	Química Orgânica	Química dos Produtos Naturais
MARCUS TULLIUS SCOTTI	Ciências Exatas e da Terra	Química	Química Orgânica	Química dos Produtos Naturais
